entry_number,entry_name,slot,team,submitted_at_utc
3,CSmith311 3,3A,GB,2026-09-21T12:03:40Z
3,Shot to the Chops 3,3A,GB,2026-09-22T03:12:53Z
3,Team Callipygian 3,3A,GB,2026-09-22T11:54:31Z
3,Jobu's Rum 3,3A,GB,2026-09-21T05:23:23Z
3,Sherlock 3,3A,ATL,2026-09-24T13:53:21Z
3,Grandview Zebras 3,3A,GB,2026-09-23T14:15:45Z
3,Bantam Jags! 3,3A,GB,2026-09-23T19:49:58Z
3,Balls-less Walz 3,3A,ATL,2026-09-20T23:40:05Z
3,Bennyboy 3,3A,GB,2026-09-21T15:17:39Z
3,Mash Buttatoes 3,3A,GB,2026-09-24T23:21:18Z
3,Titzer 3,3A,GB,2026-09-24T20:44:14Z
3,G unit 3,3A,GB,2026-09-22T02:19:56Z
3,Phi43 3,3A,GB,2026-09-24T19:29:10Z
3,Witzee 3,3A,ATL,2026-09-23T00:46:26Z
3,NJV 3,3A,ATL,2026-09-21T15:39:08Z
3,Big Blue 3,3A,GB,2026-09-24T03:22:39Z
3,Terhune 3,3A,GB,2026-09-24T16:24:38Z
3,AShores88 3,3A,GB,2026-09-24T23:58:34Z
3,Cory  S 3,3A,ATL,2026-09-21T10:32:06Z
3,sdanciak 3,3A,GB,2026-09-22T12:01:25Z
3,CaliB 3,3A,GB,2026-09-23T16:06:02Z
3,WildernessNinjas 3,3A,GB,2026-09-22T03:58:02Z
3,Dice7126 3,3A,GB,2026-09-23T14:50:53Z
3,Pooter 3,3A,GB,2026-09-23T16:29:56Z
4,Oki 4,3A,GB,2026-09-24T07:04:52Z
4,KC Wildcats 4,3A,GB,2026-09-20T23:09:18Z
4,.PALMER 4,3A,GB,2026-09-21T17:32:06Z
4,Ray LaMarca 4,3A,GB,2026-09-22T23:49:10Z
4,Homeslice 4,3A,GB,2026-09-23T18:49:35Z
4,Tamasi 4,3A,GB,2026-09-24T13:27:43Z
4,BadaBehm 4,3A,GB,2026-09-21T01:54:14Z
4,Skidmark 4,3A,ATL,2026-09-24T23:51:46Z
4,jfkhyland 4,3A,GB,2026-09-24T02:35:46Z
4,Mal 4,3A,GB,2026-09-24T03:24:03Z
4,Trevor Caliebe 4,3A,GB,2026-09-24T11:22:59Z
4,Luke K 4,3A,GB,2026-09-24T13:03:00Z
4,CSmith311 4,3A,GB,2026-09-21T12:03:42Z
4,Dennis/Sheik 4,3A,GB,2026-09-24T02:12:47Z
4,Team Callipygian 4,3A,GB,2026-09-22T11:54:33Z
4,Balls-less Walz 4,3A,GB,2026-09-20T23:40:50Z
4,YOURFACE 4,3A,GB,2026-09-22T19:23:55Z
4,Bennyboy 4,3A,ATL,2026-09-21T15:17:46Z
4,Benbewinning 4,3A,GB,2026-09-24T02:14:16Z
4,Homeyjoe 4,3A,ATL,2026-09-22T15:34:57Z
4,Shores 4,3A,GB,2026-09-24T02:48:39Z
4,Coates55 4,3A,GB,2026-09-21T06:22:57Z
4,DonHollywood 4,3A,GB,2026-09-24T07:28:12Z
4,Nschram 4,3A,GB,2026-09-25T00:11:10Z
4,RJRT 4,3A,GB,2026-09-25T00:13:48Z
5,Robert Dean 5,3A,GB,2026-09-23T17:07:26Z
5,Masterdeflater 5,3A,GB,2026-09-22T16:01:33Z
5,X-Ray 5,3A,GB,2026-09-24T21:59:56Z
5,CWHITE 5,3A,GB,2026-09-21T19:43:30Z
5,Homeslice 5,3A,GB,2026-09-23T18:49:40Z
5,BadaBehm 5,3A,GB,2026-09-21T01:54:16Z
5,Simanek 5,3A,GB,2026-09-23T22:11:40Z
5,Unregulated 5,3A,ATL,2026-09-24T23:52:43Z
5,OMB 5,3A,GB,2026-09-20T23:36:31Z
5,Travis K 5,3A,GB,2026-09-22T13:48:07Z
5,Rhodekill 5,3A,GB,2026-09-22T01:56:20Z
5,Trevor Caliebe 5,3A,GB,2026-09-24T11:23:03Z
5,BillsMafiaJA17 5,3A,GB,2026-09-21T02:10:09Z
5,Cryan 5,3A,GB,2026-09-21T02:07:05Z
5,CSmith311 5,3A,GB,2026-09-21T12:03:43Z
5,Team Callipygian 5,3A,GB,2026-09-23T23:25:01Z
5,jfleeck 5,3A,GB,2026-09-24T14:34:49Z
5,FredG 5,3A,GB,2026-09-24T16:41:15Z
5,NJV 5,3A,GB,2026-09-21T15:40:19Z
5,Terhune 5,3A,GB,2026-09-24T16:19:30Z
5,RJRT 5,3A,GB,2026-09-22T02:05:39Z
5,-EV. 5,3A,GB,2026-09-24T00:50:20Z
6,Number 9 6,3A,GB,2026-09-21T02:41:15Z
6,FishKing17 6,3A,GB,2026-09-22T19:55:35Z
6,Eastside 17 6,3A,ATL,2026-09-24T01:22:45Z
6,Schwing 6,3A,GB,2026-09-22T23:59:01Z
6,One Pump Love & Dump 6,3A,GB,2026-09-22T16:41:27Z
6,Redgem 6,3A,GB,2026-09-24T22:29:41Z
6,PB -  jd/ct 6,3A,GB,2026-09-23T01:24:01Z
6,Simanek 6,3A,ATL,2026-09-23T22:09:55Z
6,Trevor Caliebe 6,3A,GB,2026-09-24T11:23:05Z
6,BillsMafiaJA17 6,3A,GB,2026-09-21T02:10:13Z
6,CSmith311 6,3A,GB,2026-09-21T12:03:45Z
6,Schippy 6,3A,GB,2026-09-20T20:52:48Z
6,Bennyboy 6,3A,GB,2026-09-23T14:47:11Z
6,Mash Buttatoes 6,3A,GB,2026-09-24T23:21:07Z
6,Titzer 6,3A,GB,2026-09-24T20:45:24Z
6,G unit 6,3A,GB,2026-09-22T02:21:12Z
6,MandB 6,3A,GB,2026-09-24T22:25:06Z
6,Old Gregg 6,3A,GB,2026-09-24T23:43:36Z
7,Oki 7,3A,GB,2026-09-23T07:19:01Z
7,X-Ray 7,3A,GB,2026-09-24T21:59:51Z
7,CTaylor 7,3A,GB,2026-09-24T02:05:04Z
7,Skidmark 7,3A,GB,2026-09-22T10:36:33Z
7,OMB 7,3A,GB,2026-09-20T23:36:40Z
7,CSmith311 7,3A,GB,2026-09-21T12:03:46Z
7,Steiger Family 7,3A,GB,2026-09-21T13:13:35Z
7,Team Callipygian 7,3A,GB,2026-09-24T13:36:32Z
7,Bennyboy 7,3A,GB,2026-09-23T14:47:15Z
7,Berns Bags and Friends 7,3A,GB,2026-09-24T02:34:48Z
8,Skidmark 8,3A,ATL,2026-09-21T02:28:24Z
8,CSmith311 8,3A,GB,2026-09-21T12:03:47Z
8,Team Callipygian 8,3A,GB,2026-09-24T13:36:35Z
8,Bennyboy 8,3A,GB,2026-09-23T14:47:17Z
8,Mash Buttatoes 8,3A,GB,2026-09-24T23:19:22Z
8,Berns Bags and Friends 8,3A,GB,2026-09-24T02:34:51Z
8,Old Gregg 8,3A,GB,2026-09-24T23:45:24Z
9,Chronos 9,3A,GB,2026-09-21T19:17:17Z
9,HSJL 9,3A,GB,2026-09-21T14:31:17Z
9,.PALMER 9,3A,GB,2026-09-21T17:33:22Z
9,CSmith311 9,3A,GB,2026-09-21T12:03:49Z
9,Shot to the Chops 9,3A,GB,2026-09-22T03:13:39Z
9,Grandview Zebras 9,3A,GB,2026-09-24T21:10:07Z
9,Bennyboy 9,3A,GB,2026-09-23T14:47:19Z
9,laruffa 9,3A,GB,2026-09-24T23:09:59Z
9,Mash Buttatoes 9,3A,ATL,2026-09-24T23:18:50Z
9,Titzer 9,3A,GB,2026-09-24T20:46:23Z
9,Witzee 9,3A,GB,2026-09-21T19:29:59Z
9,Berns Bags and Friends 9,3A,GB,2026-09-24T02:34:55Z
10,Homeslice 10,3A,GB,2026-09-23T18:45:18Z
10,AndrewL 10,3A,GB,2026-09-21T18:47:10Z
10,CSmith311 10,3A,GB,2026-09-21T12:03:50Z
10,Bennyboy 10,3A,GB,2026-09-23T14:47:21Z
10,Mash Buttatoes 10,3A,GB,2026-09-24T23:19:15Z
10,Witzee 10,3A,GB,2026-09-24T13:35:54Z
10,Berns Bags and Friends 10,3A,GB,2026-09-24T02:34:57Z
11,Chronos 11,3A,ATL,2026-09-24T00:49:17Z
11,FishKing17 11,3A,ATL,2026-09-22T19:56:35Z
11,Skidmark 11,3A,ATL,2026-09-24T23:51:33Z
11,BillsMafiaJA17 11,3A,GB,2026-09-21T02:07:27Z
11,Nick Latzke 11,3A,GB,2026-09-24T20:21:45Z
11,Bennyboy 11,3A,GB,2026-09-23T14:47:23Z
11,Titzer 11,3A,GB,2026-09-24T20:48:11Z
12,sweat hogs 12,3A,GB,2026-09-24T11:50:25Z
12,Muskhogeans 12,3A,GB,2026-09-24T11:50:11Z
12,X-Ray 12,3A,GB,2026-09-23T11:52:07Z
12,Skidmark 12,3A,GB,2026-09-24T23:52:58Z
12,AndrewL 12,3A,GB,2026-09-21T18:47:52Z
12,Bennyboy 12,3A,GB,2026-09-23T14:47:25Z
13,Muskhogeans 13,3A,GB,2026-09-24T11:50:16Z
13,Skidmark 13,3A,GB,2026-09-24T23:53:03Z
13,Shot to the Chops 13,3A,GB,2026-09-22T03:13:57Z
13,Bennyboy 13,3A,GB,2026-09-23T14:47:27Z
14,BillsMafiaJA17 14,3A,ATL,2026-09-21T02:07:03Z
14,Nick Latzke 14,3A,GB,2026-09-24T20:16:41Z
14,Bennyboy 14,3A,GB,2026-09-23T14:47:29Z
14,Titzer 14,3A,GB,2026-09-24T20:48:47Z
15,orthogonal 15,3A,GB,2026-09-24T11:50:20Z
15,AndrewL 15,3A,GB,2026-09-24T18:43:30Z
15,Bennyboy 15,3A,GB,2026-09-23T14:47:30Z
16,Oki 16,3A,GB,2026-09-24T07:06:54Z
16,Bennyboy 16,3A,GB,2026-09-23T14:47:32Z
17,Skidmark 17,3A,GB,2026-09-24T23:54:03Z
17,Shot to the Chops 17,3A,GB,2026-09-22T03:14:22Z
17,Sherlock 17,3A,GB,2026-09-24T20:16:54Z
17,Bennyboy 17,3A,GB,2026-09-23T14:47:35Z
18,X-Ray 18,3A,GB,2026-09-23T12:31:37Z
18,Skidmark 18,3A,ATL,2026-09-24T23:52:14Z
18,Bennyboy 18,3A,GB,2026-09-23T14:47:37Z
19,Homeslice 19,3A,GB,2026-09-23T18:55:22Z
19,Bennyboy 19,3A,GB,2026-09-23T14:47:39Z
19,FishKing17 19,3A,GB,2026-09-24T15:00:04Z
20,Skidmark 20,3A,GB,2026-09-24T23:54:22Z
20,Sherlock 20,3A,GB,2026-09-24T20:17:22Z
20,Bennyboy 20,3A,GB,2026-09-23T14:47:48Z
20,FishKing17 20,3A,GB,2026-09-24T15:00:10Z
20,AndrewL 20,3A,GB,2026-09-24T18:43:44Z
21,FishKing17 21,3A,GB,2026-09-24T15:00:17Z
22,X-Ray 22,3A,GB,2026-09-24T22:00:34Z
