entry_number,entry_name,slot,team,submitted_at_utc
1,BankofMarquis 1,3A,GB,2026-09-23T14:40:27Z
1,Duncan 1,3A,GB,2026-09-21T16:25:19Z
1,ButterBob 1,3A,GB,2026-09-23T20:40:36Z
1,RobbyMcRobface 1,3A,GB,2026-09-23T14:27:49Z
1,HSJL 1,3A,GB,2026-09-24T12:13:15Z
1,Marty Johnson 1,3A,GB,2026-09-23T14:58:34Z
1,Number 9 1,3A,ATL,2026-09-21T02:38:31Z
1,Byrdman 1,3A,ATL,2026-09-21T13:09:28Z
1,Tom McNeil 1,3A,GB,2026-09-22T14:43:03Z
1,The Rocket 1,3A,GB,2026-09-21T14:51:14Z
1,X-Ray 1,3A,GB,2026-09-23T11:50:45Z
1,Drago 1,3A,ATL,2026-09-21T14:50:01Z
1,.PALMER 1,3A,GB,2026-09-21T17:31:01Z
1,Eastside 17 1,3A,GB,2026-09-24T01:12:55Z
1,CTEasymoney 1,3A,GB,2026-09-22T04:41:26Z
1,Get Stiggy With It 1,3A,ATL,2026-09-22T17:07:14Z
1,Python1 1,3A,GB,2026-09-22T16:59:25Z
1,4HAM 1,3A,GB,2026-09-14T03:07:25Z
1,Alvin 1,3A,GB,2026-09-21T16:43:04Z
1,Teeter 1,3A,GB,2026-09-23T14:52:02Z
1,SBerecz 1,3A,GB,2026-09-23T19:57:14Z
1,Daughter 1,3A,GB,2026-09-22T20:28:24Z
1,AssKickers 1,3A,GB,2026-09-20T23:57:12Z
1,Cypherhawks 1,3A,GB,2026-08-28T19:09:49Z
1,Tim McNeil 1,3A,GB,2026-09-23T00:31:11Z
1,Bib #1 1,3A,GB,2026-09-21T20:45:16Z
1,Bib#2 1,3A,ATL,2026-09-21T20:46:57Z
1,Doug Cook 1,3A,GB,2026-09-23T15:15:22Z
1,CEH2O1 1,3A,GB,2026-09-20T16:27:09Z
1,Wheels 1,3A,GB,2026-09-23T15:49:50Z
1,PB -  jd/ct 1,3A,GB,2026-09-24T23:35:14Z
1,Bob & Jackie 1,3A,GB,2026-09-24T22:46:09Z
1,TJB 1,3A,GB,2026-09-22T22:26:23Z
1,Mifancee 1,3A,GB,2026-09-24T22:47:03Z
1,Chong Y 1,3A,ATL,2026-09-22T13:43:30Z
1,Ray LaMarca 1,3A,GB,2026-09-22T23:48:34Z
1,Team Green 1,3A,GB,2026-09-21T13:30:30Z
1,Awes 1,3A,GB,2026-09-24T12:28:31Z
1,AJ 1,3A,GB,2026-09-24T13:16:38Z
1,BadaBehm 1,3A,GB,2026-09-21T01:53:44Z
1,Gaboni 1,3A,GB,2026-09-24T14:51:36Z
1,Keith Oerther 2 1,3A,GB,2026-09-21T15:51:15Z
1,Grand 1,3A,GB,2026-09-24T15:41:45Z
1,Simanek 1,3A,GB,2026-09-23T22:07:36Z
1,tchristl 1,3A,GB,2026-09-21T13:49:28Z
1,SJU 1,3A,GB,2026-09-23T23:19:42Z
1,Unregulated 1,3A,GB,2026-09-24T23:54:39Z
1,BigRamses1 1,3A,GB,2026-09-24T15:43:57Z
1,OMB 1,3A,GB,2026-09-20T23:34:15Z
1,RabidGophers 1,3A,GB,2026-09-21T14:24:30Z
1,Finnegan Picks 1,3A,ATL,2026-09-23T14:57:48Z
1,Nick3l City 1,3A,GB,2026-09-24T23:50:21Z
1,PS1 1,3A,GB,2026-09-22T17:11:10Z
1,Rhodekill 1,3A,GB,2026-09-22T01:55:13Z
1,A.Lewis 1,3A,GB,2026-09-23T04:26:29Z
1,JessiMain 1,3A,GB,2026-09-22T01:03:58Z
1,akahn 1,3A,GB,2026-09-23T01:34:47Z
1,CSmith311 1,3A,GB,2026-09-21T12:03:31Z
1,Tetlow 1,3A,GB,2026-09-23T11:45:04Z
1,gsoda 1,3A,GB,2026-09-08T01:53:09Z
1,Mike Egan 1,3A,GB,2026-09-23T15:43:50Z
1,Carson 1,3A,GB,2026-09-24T02:30:59Z
1,Ben Siebert 1,3A,GB,2026-09-21T20:49:34Z
1,Dan Burnstine 1,3A,GB,2026-09-23T13:34:29Z
1,Team Callipygian 1,3A,GB,2026-09-22T11:54:08Z
1,Sherlock 1,3A,GB,2026-09-24T13:58:52Z
1,Eric Dennis 1,3A,GB,2026-09-23T17:18:15Z
1,JHunt 1,3A,GB,2026-09-22T17:29:37Z
1,The Committee 1,3A,GB,2026-09-23T19:53:14Z
1,Smiling Assassin 1,3A,ATL,2026-09-22T19:10:17Z
1,JRTOLLY 1,3A,ATL,2026-09-23T16:21:59Z
1,Jonathan F 1,3A,GB,2026-09-22T19:09:40Z
1,Boomer 1,3A,GB,2026-09-23T14:28:44Z
1,Thiglife50 1,3A,GB,2026-09-24T22:39:15Z
1,Megs 1,3A,ATL,2026-09-22T13:34:21Z
1,IRA 1,3A,GB,2026-09-24T00:07:32Z
1,Ryan P 1 1,3A,GB,2026-09-24T14:29:07Z
1,Fterschan2 1,3A,GB,2026-09-23T14:47:21Z
1,Redbull 1,3A,GB,2026-09-24T00:38:32Z
1,JEnerson 1,3A,GB,2026-09-22T22:01:28Z
1,Dave Stencil 1,3A,GB,2026-09-23T14:48:34Z
1,Hunter W 1,3A,GB,2026-09-24T23:01:47Z
1,Lay The Points 1,3A,GB,2026-09-24T18:07:45Z
1,rslipka 1,3A,GB,2026-09-24T19:44:21Z
1,Bennyboy 1,3A,ATL,2026-09-21T15:17:27Z
1,laruffa 1,3A,GB,2026-09-24T23:08:26Z
1,jfleeck 1,3A,GB,2026-09-24T14:35:01Z
1,Jen Frank 1,3A,ATL,2026-09-22T03:13:26Z
1,Wojcik1 1,3A,GB,2026-09-24T23:09:06Z
1,Odawg 1,3A,GB,2026-09-21T18:00:09Z
1,Ntap_chris 1,3A,GB,2026-09-23T11:33:33Z
1,MarkO 1,3A,GB,2026-09-21T16:42:15Z
1,Paul Bury 1,3A,GB,2026-09-23T04:10:02Z
1,BigPlayJ 1,3A,GB,2026-09-24T15:23:58Z
1,GI 1,3A,GB,2026-09-24T13:35:48Z
1,Dice7126 1,3A,GB,2026-09-23T14:50:44Z
1,SandmanReject 1,3A,GB,2026-09-24T23:50:29Z
1,RJRT 1,3A,GB,2026-09-22T02:02:19Z
1,UACATS26 1,3A,GB,2026-09-24T15:42:24Z
1,Old Gregg 1,3A,GB,2026-09-24T23:44:44Z
1,Vikingstothebowl 1,3A,GB,2026-09-24T23:11:38Z
1,Revenge of the Vrabes 1,3A,GB,2026-09-24T21:40:32Z
1,Cecil G 1,3A,GB,2026-09-24T14:55:42Z
1,Proasscoach 1,3A,ATL,2026-09-24T23:49:49Z
2,QueenJoanie 2,3A,GB,2026-09-20T23:02:59Z
2,Todd G 2,3A,GB,2026-09-22T15:47:50Z
2,Susan K 2,3A,GB,2026-09-22T20:56:15Z
2,Muskhogeans 2,3A,GB,2026-09-24T11:50:05Z
2,Number 9 2,3A,GB,2026-09-21T02:38:47Z
2,KC Wildcats 2,3A,ATL,2026-09-20T23:08:14Z
2,Dawn 2,3A,GB,2026-09-22T15:30:00Z
2,Drago 2,3A,GB,2026-09-21T14:50:40Z
2,ChrisN 2,3A,GB,2026-09-24T15:14:16Z
2,Scott Brofman 2,3A,GB,2026-09-23T14:50:19Z
2,Get Stiggy With It 2,3A,GB,2026-09-22T17:08:34Z
2,Nube 2,3A,GB,2026-09-22T12:19:11Z
2,One Pump Love & Dump 2,3A,GB,2026-09-22T16:37:53Z
2,Alvin 2,3A,GB,2026-09-21T16:43:22Z
2,Mongoose 2,3A,GB,2026-09-23T12:34:33Z
2,Fletch 2,3A,GB,2026-09-23T21:35:51Z
2,Garner 2,3A,GB,2026-09-23T15:32:14Z
2,JFerrell 2,3A,GB,2026-09-23T12:22:57Z
2,GWhite 2,3A,GB,2026-09-23T20:25:14Z
2,CWHITE 2,3A,GB,2026-09-21T19:45:05Z
2,Winner # 2,3A,GB,2026-09-22T12:47:52Z
2,a.schneck 2,3A,GB,2026-09-24T14:58:50Z
2,Original Stephen A 2,3A,GB,2026-09-23T14:54:01Z
2,Nickels 2,3A,GB,2026-09-21T12:56:11Z
2,Team Green 2,3A,GB,2026-09-21T13:30:37Z
2,BadaBehm 2,3A,GB,2026-09-21T01:54:12Z
2,Sathre 2,3A,GB,2026-09-23T13:31:56Z
2,TommyGun 2,3A,ATL,2026-09-24T12:45:28Z
2,Drool 2,3A,ATL,2026-09-22T15:27:35Z
2,Wheels 2,3A,GB,2026-09-23T15:49:59Z
2,Trevor Caliebe 2,3A,GB,2026-09-23T16:33:31Z
2,Jrusso 2,3A,GB,2026-09-23T18:39:46Z
2,AndrewL 2,3A,GB,2026-09-24T18:43:15Z
2,Clemdoggers 2,3A,GB,2026-09-23T00:20:58Z
2,Cryan 2,3A,GB,2026-09-21T02:07:10Z
2,CSmith311 2,3A,GB,2026-09-21T12:03:39Z
2,Stoepjo 2,3A,GB,2026-09-23T02:26:08Z
2,Sheik/Dennis 2,3A,GB,2026-09-24T23:19:41Z
2,Neums 2,3A,GB,2026-09-22T19:36:23Z
2,Team Callipygian 2,3A,GB,2026-09-22T11:54:13Z
2,Flickertails 2,3A,GB,2026-09-22T13:03:58Z
2,MyMercedes 2,3A,GB,2026-09-23T14:27:12Z
2,VikeQueen 2,3A,GB,2026-09-24T02:38:27Z
2,Hunter W 2,3A,GB,2026-09-24T23:05:42Z
2,Midnight Mortgage 2,3A,GB,2026-09-24T01:33:22Z
2,Bennyboy 2,3A,GB,2026-09-21T15:17:34Z
2,laruffa 2,3A,GB,2026-09-24T23:08:37Z
2,Loser 2,3A,GB,2026-09-23T17:31:20Z
2,Procure 2,3A,GB,2026-09-21T21:36:49Z
2,G unit 2,3A,GB,2026-09-22T02:19:41Z
2,Stella's Got Game 2,3A,GB,2026-09-22T03:40:10Z
2,Homeyjoe 2,3A,GB,2026-09-22T15:37:49Z
2,Coates55 2,3A,ATL,2026-09-21T06:22:32Z
2,LFS108 2,3A,GB,2026-09-24T03:37:34Z
2,JJ’s Winners 1 2,3A,GB,2026-09-24T01:02:57Z
2,Dice7126 2,3A,GB,2026-09-23T14:50:50Z
2,UACATS26 2,3A,GB,2026-09-24T15:42:31Z
3,Duncan 3,3A,GB,2026-09-21T16:26:15Z
3,ButterBob 3,3A,GB,2026-09-23T20:42:19Z
3,RecklessDZ 3,3A,GB,2026-09-24T00:45:21Z
3,Byrdman 3,3A,GB,2026-09-21T13:10:35Z
3,CoorsBanquet 3,3A,GB,2026-09-22T23:54:00Z
3,Vendor 3,3A,ATL,2026-09-23T21:25:41Z
3,JoeyG 3,3A,GB,2026-09-21T14:24:20Z
3,Savage outdoors 3,3A,GB,2026-09-23T14:10:07Z
3,Nickels 3,3A,ATL,2026-09-21T12:56:04Z
3,Sathre 3,3A,GB,2026-09-23T13:32:30Z
3,SJU 3,3A,GB,2026-09-24T14:15:03Z
3,Unregulated 3,3A,ATL,2026-09-24T23:52:31Z
3,TommyGun 3,3A,GB,2026-09-24T12:45:31Z
3,Drool 3,3A,GB,2026-09-22T15:27:41Z
3,jfkhyland 3,3A,GB,2026-09-24T02:35:27Z
3,Lljuergs 3,3A,GB,2026-09-24T11:43:36Z
3,Trevor Caliebe 3,3A,GB,2026-09-23T16:34:03Z
3,JessiMain 3,3A,GB,2026-09-22T01:05:16Z
3,.ZF 3,3A,GB,2026-09-22T14:57:55Z
3,Bren 3,3A,GB,2026-09-24T00:19:35Z
3,Cryan 3,3A,GB,2026-09-21T02:06:53Z
3,akahn 3,3A,GB,2026-09-23T01:35:17Z
